Source name,Confirmed images,Total points in confirmed images,Unique labels in confirmed images,Link
PlayaKalki_20m,200,5000,17,https://coralnet.ucsd.edu/source/2194/
La Sagesse Channel Reef,75,1875,29,https://coralnet.ucsd.edu/source/2208/
PlayaKalki_10m,200,5000,16,https://coralnet.ucsd.edu/source/2211/
PSEPA2020,82,4100,27,https://coralnet.ucsd.edu/source/2239/
PMNM Circrat- Recruitment,132,13200,4,https://coralnet.ucsd.edu/source/2258/
PMNM Circrat- Mortality,234,23400,5,https://coralnet.ucsd.edu/source/2274/
Kulbul,2664,66600,22,https://coralnet.ucsd.edu/source/2286/
Rincon,198,4950,30,https://coralnet.ucsd.edu/source/2294/
CoralNet_Assistance_Test_0921,4271,106775,75,https://coralnet.ucsd.edu/source/2297/
Solitaries Jan 2021,111,11100,18,https://coralnet.ucsd.edu/source/2311/
Algal composition Michmoret,401,40100,34,https://coralnet.ucsd.edu/source/2315/
Kir Nani Corals,50,990,9,https://coralnet.ucsd.edu/source/2324/
Nutrient in the seagrass,34,544,7,https://coralnet.ucsd.edu/source/2374/
Invasive sponges,32,1600,6,https://coralnet.ucsd.edu/source/2414/
North Sesoko S4 Encrusting Montipora Percent Cover,157,15700,2,https://coralnet.ucsd.edu/source/2464/
HIMB Coral Nursery,36,3600,20,https://coralnet.ucsd.edu/source/2480/
"Calabash Bight Port Royal, Roatan",461,11525,53,https://coralnet.ucsd.edu/source/2544/
Saudi Red Sea Seasonal Differences: Offshore-Midshelf sheltered slope,2579,51580,54,https://coralnet.ucsd.edu/source/2615/
Saudi Red Sea Seasonal Differences: Offshore-Midshelf sheltered crest,2407,48140,53,https://coralnet.ucsd.edu/source/2616/
Milly Urchin Honours,138,2760,26,https://coralnet.ucsd.edu/source/2655/
KAHO_SfM_Sites,88,8580,18,https://coralnet.ucsd.edu/source/2672/
403 Heʻeia Restoration '21,675,16875,32,https://coralnet.ucsd.edu/source/2682/
Maui_Honolua,451,11275,23,https://coralnet.ucsd.edu/source/2715/
Maui_Papa'ula,660,16500,31,https://coralnet.ucsd.edu/source/2716/
10m E R2,50,1000,9,https://coralnet.ucsd.edu/source/2733/
WAPA Interns,1034,51700,79,https://coralnet.ucsd.edu/source/2744/
5m E R1,50,1000,13,https://coralnet.ucsd.edu/source/2747/
Pixie Reef 2021,59,1475,25,https://coralnet.ucsd.edu/source/2757/
Cape Maeda2021,602,6100,44,https://coralnet.ucsd.edu/source/2759/
Paleocanal,34,6800,40,https://coralnet.ucsd.edu/source/2762/
G_Walls_StFX,1119,22380,6,https://coralnet.ucsd.edu/source/2765/
5m W B1,49,980,12,https://coralnet.ucsd.edu/source/2779/
9001CB,181,4525,6,https://coralnet.ucsd.edu/source/2780/
10m W B2,50,1000,10,https://coralnet.ucsd.edu/source/2781/
Maldives_2021,7042,176050,78,https://coralnet.ucsd.edu/source/2795/
TEST,21,630,36,https://coralnet.ucsd.edu/source/2799/
Norfolk _Island_2021_v2,171,17100,34,https://coralnet.ucsd.edu/source/2800/
Saipan ML Test 2,145,29000,17,https://coralnet.ucsd.edu/source/2808/
Ardis_Ayla_Katie,30,1200,14,https://coralnet.ucsd.edu/source/2820/
Central Karimunjawa Park,20,800,15,https://coralnet.ucsd.edu/source/2821/
Glover's Reef,60,2400,13,https://coralnet.ucsd.edu/source/2822/
Lembeh_Strait,30,1200,13,https://coralnet.ucsd.edu/source/2824/
